task_id,subject,solver,role,condition,replay,absolute_innovations,standardized_innovations
v3_S2__subject_09__1__21__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.03395891103750948, 0.011315150399964377], ""gap_nrmse_training_sd"": [0.0, 0.267935367706274, 0.4634652105665764], ""nfev"": 16370, ""method"": ""DOP853""}","[0.018166227879677175, 0.0014364707242398827, 0.015134269353769535, 0.0007815084798482372, 0.0017814077876553947, 0.0014567263054502913]","[0.45415569699192937, 0.28729414484797655, 5.044756451256512, 0.39075423992411856, 0.8907038938276973, 0.7283631527251456]"
v3_S2__subject_09__2__2__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.011980578142821819, 0.0069844968869449955], ""gap_nrmse_training_sd"": [0.0, 0.094708742197, 0.30702284978878447], ""nfev"": 18962, ""method"": ""DOP853""}","[0.013176345032132688, 0.0011460077688441191, 0.0014978232613108826, 0.0013583465980122464, 0.0014998378915576525, 0.0007679701527830887]","[0.3294086258033172, 0.2292015537688238, 0.49927442043696085, 0.6791732990061231, 0.7499189457788262, 0.38398507639154433]"
v3_S2__subject_09__2__6__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.06104491763259999, 0.016953769172004866], ""gap_nrmse_training_sd"": [0.0, 0.4825716503478589, 0.7452497452721918], ""nfev"": 18374, ""method"": ""DOP853""}","[0.024630369016079002, 0.0013726549342203936, 0.025537710409518754, 0.001145410766840033, 0.0022498100946189343, 0.0023212164291534095]","[0.615759225401975, 0.27453098684407873, 8.512570136506252, 0.5727053834200165, 1.124905047309467, 1.1606082145767047]"
v3_S2__subject_09__2__10__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.023247115544204472, 0.01065238822789185], ""gap_nrmse_training_sd"": [0.0, 0.18377285692336037, 0.4682551433156092], ""nfev"": 18338, ""method"": ""DOP853""}","[0.019631700808904348, 0.0014333556504566834, 0.01145905162019938, 0.0006883614377920786, 0.0015957553420005734, 0.0009125854786476656]","[0.4907925202226087, 0.28667113009133666, 3.819683873399793, 0.3441807188960393, 0.7978776710002867, 0.4562927393238328]"
v3_S2__subject_09__2__14__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.023107098507117417, 0.01035920807961384], ""gap_nrmse_training_sd"": [0.0, 0.18266599569257652, 0.455367600220836], ""nfev"": 17930, ""method"": ""DOP853""}","[0.01935607970295174, 0.0013531148986004886, 0.010683932390105733, 0.0007112332350350429, 0.0014740852725827292, 0.0010510373833906093]","[0.4839019925737935, 0.2706229797200977, 3.561310796701911, 0.35561661751752144, 0.7370426362913646, 0.5255186916953046]"
v3_S2__subject_09__2__18__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.040259772554853676, 0.01652495376346197], ""gap_nrmse_training_sd"": [0.0, 0.31826113684605684, 0.726399979727838], ""nfev"": 16826, ""method"": ""DOP853""}","[0.019047308047175835, 0.001349956634819573, 0.016052561583256415, 0.0006364736100840397, 0.0020023631252762035, 0.0015273473805274198]","[0.4761827011793959, 0.2699913269639146, 5.350853861085471, 0.31823680504201984, 1.0011815626381018, 0.7636736902637099]"
v3_S2__subject_09__2__22__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.0607503382377779, 0.023110584336005244], ""gap_nrmse_training_sd"": [0.0, 0.48024294436821724, 1.0158895591158206], ""nfev"": 17174, ""method"": ""DOP853""}","[0.02504845104752934, 0.0012436404113961798, 0.02809968049868856, 0.0012510234281475595, 0.0023226747858535925, 0.002629502131234141]","[0.6262112761882335, 0.24872808227923596, 9.36656016622952, 0.6255117140737797, 1.1613373929267963, 1.3147510656170704]"
v3_S2__subject_09__3__3__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008544801807558594, 0.006779080299013466], ""gap_nrmse_training_sd"": [0.0, 0.07208272795659403, 0.271919379491949], ""nfev"": 19334, ""method"": ""DOP853""}","[0.018546283805752125, 0.0011165061564277657, 0.0037293415423490855, 0.0008787144900786841, 0.0012814672218388768, 0.0004657220316526304]","[0.4636570951438031, 0.22330123128555313, 1.2431138474496952, 0.43935724503934204, 0.6407336109194384, 0.2328610158263152]"
v3_S2__subject_09__3__7__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.013924101344186618, 0.00984765628244151], ""gap_nrmse_training_sd"": [0.0, 0.11746173075017419, 0.3950047008826808], ""nfev"": 14966, ""method"": ""DOP853""}","[0.019818942049043393, 0.0011785614993592081, 0.006944528705965897, 0.0007052012086387259, 0.0013412957301597317, 0.0005223707358536471]","[0.49547355122608483, 0.2357122998718416, 2.3148429019886323, 0.35260060431936296, 0.6706478650798658, 0.26118536792682356]"
v3_S2__subject_09__3__11__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.052637320701248234, 0.018044664594199435], ""gap_nrmse_training_sd"": [0.0, 0.44404092147763413, 0.7237993626228479], ""nfev"": 16574, ""method"": ""DOP853""}","[0.02066999227227498, 0.0013018631041775744, 0.020066366255293833, 0.0008161506581993295, 0.002110033524553179, 0.0019718982612470137]","[0.5167498068068744, 0.2603726208355149, 6.688788751764611, 0.40807532909966476, 1.0550167622765894, 0.9859491306235069]"
v3_S2__subject_09__3__15__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.01973213162296044, 0.010980310901740302], ""gap_nrmse_training_sd"": [0.0, 0.16645744486705114, 0.4404372267819887], ""nfev"": 19646, ""method"": ""DOP853""}","[0.02175575829214969, 0.001418666391795455, 0.009979611268153414, 0.0005664119680984511, 0.0015104016416257243, 0.0006841289016424902]","[0.5438939573037422, 0.283733278359091, 3.326537089384471, 0.28320598404922553, 0.7552008208128621, 0.3420644508212451]"
v3_S2__subject_09__3__19__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.022282492189876824, 0.01103651918264563], ""gap_nrmse_training_sd"": [0.0, 0.18797192244962532, 0.4426918277295996], ""nfev"": 18854, ""method"": ""DOP853""}","[0.01965285164816321, 0.0012884252400920337, 0.010032413896113888, 0.0007893441473417347, 0.00151255234271343, 0.0007966672912318245]","[0.49132129120408025, 0.25768504801840675, 3.344137965371296, 0.3946720736708674, 0.756276171356715, 0.3983336456159122]"
v3_S2__subject_09__3__23__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.01438017436766934, 0.010156799032876147], ""gap_nrmse_training_sd"": [0.0, 0.12130909765468982, 0.4074048940010385], ""nfev"": 18758, ""method"": ""DOP853""}","[0.019653893662997444, 0.0012817388593575501, 0.007086147138795235, 0.0007272148029474032, 0.001344713171147683, 0.0006078309714141401]","[0.4913473415749361, 0.25634777187151003, 2.3620490462650783, 0.36360740147370163, 0.6723565855738415, 0.30391548570707]"
v3_S2__subject_18__0__0__O0,subject_18,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.010364632523741459, 0.005756169397784301], ""gap_nrmse_training_sd"": [0.0, 0.12470946375819257, 0.23444595601316012], ""nfev"": 17534, ""method"": ""DOP853""}","[0.014749719047667885, 0.0012347518297759121, 0.003927859734097168, 0.001076212036216426, 0.0014324629602334796, 0.0006471170020647718]","[0.3687429761916971, 0.2469503659551824, 1.3092865780323895, 0.5381060181082129, 0.7162314801167398, 0.32355850103238587]"
v3_S2__subject_18__0__4__O0,subject_18,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.007722195949821774, 0.0059135240796850536], ""gap_nrmse_training_sd"": [0.0, 0.09291510468239177, 0.2408549350202006], ""nfev"": 18002, ""method"": ""DOP853""}","[0.014423490645621736, 0.0012438461350637816, 0.004977498711651155, 0.000690787306921265, 0.0012140122793512385, 0.0005478437538763537]","[0.36058726614054337, 0.2487692270127563, 1.6591662372170517, 0.3453936534606325, 0.6070061396756192, 0.2739218769381768]"
